Label,Image
Maize,./Maize/44a9a599d.jpg
Scentless Mayweed,./Scentless Mayweed/bbd2ce539.jpg
Cleavers,./Cleavers/6820df17f.jpg
Common Chickweed,./Common Chickweed/7dd728ef8.jpg
Loose Silky-bent,./Loose Silky-bent/cc5e3a6b0.jpg
Common Chickweed,./Common Chickweed/137dad5ef.jpg
Cleavers,./Cleavers/a3085c4c8.jpg
Charlock,./Charlock/f7edd4688.jpg
Fat Hen,./Fat Hen/9dc631eaa.jpg
Scentless Mayweed,./Scentless Mayweed/3f6ec61f6.jpg
Common Chickweed,./Common Chickweed/9fb44806e.jpg
Loose Silky-bent,./Loose Silky-bent/6bbc3e3dd.jpg
Common Chickweed,./Common Chickweed/af005febb.jpg
Scentless Mayweed,./Scentless Mayweed/1ea60c734.jpg
Sugar beet,./Sugar beet/0af59d58a.jpg
Common Chickweed,./Common Chickweed/d13abd726.jpg
Loose Silky-bent,./Loose Silky-bent/a4dcf7616.jpg
Cleavers,./Cleavers/1e33a3dce.jpg
Common wheat,./Common wheat/42098546c.jpg
Loose Silky-bent,./Loose Silky-bent/611680af6.jpg
Common Chickweed,./Common Chickweed/f394b73f6.jpg
Common Chickweed,./Common Chickweed/0ffbcb790.jpg
Charlock,./Charlock/1dfeec485.jpg
Charlock,./Charlock/92209cbd5.jpg
Maize,./Maize/fdebe4158.jpg
Small-flowered Cranesbill,./Small-flowered Cranesbill/16ecc632f.jpg
Fat Hen,./Fat Hen/67e5eeea7.jpg
Shepherds Purse,./Shepherds Purse/3a98ad207.jpg
Sugar beet,./Sugar beet/3b3c71f04.jpg
Cleavers,./Cleavers/b0a1ac210.jpg
Cleavers,./Cleavers/0bcf29af7.jpg
Maize,./Maize/f5e10e5ec.jpg
Scentless Mayweed,./Scentless Mayweed/a88a52491.jpg
Fat Hen,./Fat Hen/a74864d83.jpg
Small-flowered Cranesbill,./Small-flowered Cranesbill/498878207.jpg
Common wheat,./Common wheat/872174e0f.jpg
Small-flowered Cranesbill,./Small-flowered Cranesbill/6e37cdeef.jpg
Charlock,./Charlock/71472bf20.jpg
Fat Hen,./Fat Hen/33c6627d2.jpg
Common Chickweed,./Common Chickweed/0c25871d9.jpg
Fat Hen,./Fat Hen/1df9e7301.jpg
Common Chickweed,./Common Chickweed/f7b86986a.jpg
Small-flowered Cranesbill,./Small-flowered Cranesbill/29ed37400.jpg
Loose Silky-bent,./Loose Silky-bent/17b2de877.jpg
Loose Silky-bent,./Loose Silky-bent/1f57bde3c.jpg
Charlock,./Charlock/92184e2d6.jpg
Charlock,./Charlock/d3228543a.jpg
Fat Hen,./Fat Hen/149dbba5f.jpg
Charlock,./Charlock/1716acd53.jpg
Sugar beet,./Sugar beet/ee9ea960d.jpg
Common wheat,./Common wheat/297e193dc.jpg
Common wheat,./Common wheat/fc387c3ba.jpg
Sugar beet,./Sugar beet/33ddbf2cc.jpg
Fat Hen,./Fat Hen/6e54ab8b9.jpg
Cleavers,./Cleavers/360f883f6.jpg
Scentless Mayweed,./Scentless Mayweed/a1b632391.jpg
Common wheat,./Common wheat/3bd84db2c.jpg
Charlock,./Charlock/55d410aca.jpg
Small-flowered Cranesbill,./Small-flowered Cranesbill/cf60b7687.jpg
Common wheat,./Common wheat/136134853.jpg
Cleavers,./Cleavers/34f210a03.jpg
Scentless Mayweed,./Scentless Mayweed/f76772c24.jpg
Scentless Mayweed,./Scentless Mayweed/df6448756.jpg
Black-grass,./Black-grass/6aabdeb45.jpg
Charlock,./Charlock/d8da05d11.jpg
Black-grass,./Black-grass/7b71d3e65.jpg
Shepherds Purse,./Shepherds Purse/fdd0a59e3.jpg
Charlock,./Charlock/ddf0958d2.jpg
Common Chickweed,./Common Chickweed/be325b3b9.jpg
Common Chickweed,./Common Chickweed/054a3e47e.jpg
Common Chickweed,./Common Chickweed/54a3a899b.jpg
